date,close,volume,外資,投信,自營商,三大法人合計(張),融資增減(張),K,D,KD落入20以下,出現黃金交叉,趨勢向上非鈍化,新手投資建議
2021-11-12,68.7,6113487,1551.0,-852.0,-110.0,589.0,,73.31,75.35,False,False,True,⭐ 弱勢反彈
2021-11-15,70.3,12560158,5223.0,-22.0,371.0,5572.0,,80.24,76.98,False,True,True,⭐⭐ 偏多觀察
2021-11-16,70.8,9547608,1970.0,180.0,28.0,2178.0,,86.83,80.26,False,False,True,⭐ 弱勢反彈
2021-11-17,71.0,11550133,2083.0,-241.0,-64.0,1778.0,,86.09,82.21,False,False,True,⭐ 弱勢反彈
2021-11-18,71.6,8466670,2143.0,-702.0,36.0,1477.0,,88.51,84.31,False,False,True,⭐ 弱勢反彈
2021-11-19,69.6,11671357,-1145.0,-2692.0,-422.0,-4259.0,,74.95,81.19,False,False,True,⭐ 弱勢反彈
2021-11-22,75.4,50484857,23821.0,908.0,1352.0,26081.0,,80.8,81.06,False,False,True,⭐ 弱勢反彈
2021-11-23,75.7,31620097,-1332.0,713.0,3.0,-616.0,,83.71,81.94,False,True,True,⭐⭐ 偏多觀察
2021-11-24,75.4,12709513,-743.0,750.0,-87.0,-81.0,,84.38,82.75,False,False,True,⭐ 弱勢反彈
2021-11-25,74.4,10299651,-1864.0,1529.0,-92.0,-428.0,,79.54,81.68,False,False,True,⭐ 弱勢反彈
2021-11-26,73.5,14556914,-662.0,2525.0,-265.0,1599.0,,71.81,78.39,False,False,True,⭐ 弱勢反彈
2021-11-29,73.3,13003517,2237.0,558.0,140.0,2935.0,,65.71,74.16,False,False,True,⭐ 弱勢反彈
2021-11-30,74.2,31197078,-8355.0,2229.0,695.0,-5431.0,,65.87,71.4,False,False,True,⭐ 弱勢反彈
2021-12-01,76.0,20047171,3593.0,2412.0,965.0,6970.0,,74.43,72.41,False,True,True,⭐⭐ 偏多觀察
2021-12-02,79.8,61010333,16088.0,3043.0,1345.0,20476.0,,82.21,75.68,False,False,True,⭐ 弱勢反彈
2021-12-03,78.8,33711626,-11505.0,2615.0,-79.0,-8969.0,,83.64,78.33,False,False,True,⭐ 弱勢反彈
2021-12-06,77.5,14634371,-3798.0,196.0,-171.0,-3773.0,,79.73,78.8,False,False,True,⭐ 弱勢反彈
2021-12-07,77.5,9369207,-276.0,8.0,-149.0,-417.0,,77.12,78.24,False,False,True,⭐ 弱勢反彈
2021-12-08,76.9,15424120,-712.0,355.0,-1944.0,-2301.0,,73.14,76.54,False,False,True,⭐ 弱勢反彈
2021-12-09,77.5,9625382,1855.0,0.0,-205.0,1651.0,,72.73,75.27,False,False,True,⭐ 弱勢反彈
2021-12-10,77.8,9219625,-1010.0,7.0,-41.0,-1044.0,,69.39,73.31,False,False,True,⭐ 弱勢反彈
2021-12-13,76.6,7049563,-835.0,940.0,-187.0,-82.0,,60.38,69.0,False,False,True,⭐ 弱勢反彈
2021-12-14,74.8,9243857,2829.0,453.0,-649.0,2634.0,,40.26,59.42,False,False,True,⭐ 弱勢反彈
2021-12-15,76.0,5946520,6.0,929.0,-180.0,754.0,,35.93,51.59,False,False,True,⭐ 弱勢反彈
2021-12-16,76.0,11018113,467.0,-1757.0,104.0,-1186.0,,33.25,45.48,False,False,True,⭐ 弱勢反彈
2021-12-17,75.7,5809323,2104.0,-71.0,-91.0,1943.0,,30.9,40.62,False,False,True,⭐ 弱勢反彈
2021-12-20,75.9,13804112,752.0,312.0,-66.0,997.0,,30.92,37.38,False,False,True,⭐ 弱勢反彈
2021-12-21,76.8,17953537,-2056.0,89.0,356.0,-1611.0,,38.5,37.76,False,True,True,⭐⭐ 偏多觀察
2021-12-22,76.5,28364017,4760.0,-16.0,198.0,4941.0,,37.61,37.71,False,False,True,⭐ 弱勢反彈
2021-12-23,75.9,11620562,-2254.0,-22.0,57.0,-2219.0,,33.25,36.22,False,False,True,⭐ 弱勢反彈
2021-12-24,75.7,6947685,-889.0,-18.0,101.0,-806.0,,29.09,33.84,False,False,True,⭐ 弱勢反彈
2021-12-27,76.6,4538580,1364.0,-13.0,6.0,1357.0,,31.97,33.22,False,False,True,⭐ 弱勢反彈
2021-12-28,76.7,6473885,258.0,-5.0,18.0,271.0,,34.52,33.65,False,True,True,⭐⭐ 偏多觀察
2021-12-29,76.6,3109971,-149.0,-14.0,25.0,-138.0,,35.59,34.3,False,False,True,⭐ 弱勢反彈
2021-12-30,78.1,15683659,3112.0,16.0,1510.0,4638.0,,43.43,37.34,False,False,True,⭐ 弱勢反彈
2022-01-03,76.2,11445518,-2059.0,-1086.0,-763.0,-3908.0,,33.6,36.09,False,False,True,⭐ 弱勢反彈
2022-01-04,77.2,7409922,2127.0,-3.0,-229.0,1895.0,,34.8,35.66,False,False,True,⭐ 弱勢反彈
2022-01-05,75.9,11504907,-2095.0,-1092.0,-397.0,-3584.0,,27.65,32.99,False,False,True,⭐ 弱勢反彈
2022-01-06,73.8,11854260,-2348.0,-19.0,-580.0,-2947.0,,21.64,29.21,False,False,True,⭐ 弱勢反彈
